iteration,train_rmse,validation_rmse
484,113.38519539625035,140.65472763978605
485,113.27091611974875,140.61587798663004
486,113.12390314045017,140.49075737867565
487,113.00319324492291,140.41927485073126
488,112.96667852053191,140.3998189967604
489,112.82125009554147,140.3471730021399
490,112.68025743034237,140.32709124838195
491,112.61488321202417,140.27680011320192
492,112.54296644920332,140.28337040122148
493,112.44717301232218,140.26592539171074
494,112.25754284444267,140.1578840473246
495,112.05093659430099,140.03626081717684
496,111.916503069568,140.02182441814475
497,111.84053254587751,139.9813953792459
498,111.74260356640305,139.97398216074535
499,111.57603338720268,139.96394008906057
